,material_id,space_group,K_VRH,kpoint_density,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,density,vpa,packing fraction
0,mp-10003,124,194.2688844,7000,14,41,27,34.16666667,9.111111111,41,47,78,31,54,9.333333333,47,28.0855,92.90638,64.82088,76.4407025,21.95423667,92.90638,1687,2750,1063,2409.166667,454.4444444,2750,5,14,9,7.166666667,2.888888889,5,3,5,2,4.5,0.666666667,5,111,164,53,148.8333333,20.22222222,164,1.6,1.9,0.3,1.696666667,0.128888889,1.6,1,2,1,1.333333333,0.444444444,1,0,2,2,0.333333333,0.555555556,0,0,7,7,3.833333333,1.277777778,4,0,0,0,0,0,0,4,9,5,5.5,1.166666667,5,0,1,1,0.666666667,0.444444444,1,0,4,4,0.666666667,1.111111111,0,0,6,6,4.5,2,6,0,0,0,0,0,0,3,7,4,5.833333333,1.555555556,7,10.245,20.44,10.195,17.23416667,2.329722222,18.18,0,0.773,0.773,0.128833333,0.214722222,0,0,1.5484712,1.5484712,0.258078533,0.430130889,0,194,229,35,222.8333333,9.611111111,229,0,0,0,0,7.834556317,16.20165401,0.688833751
1,mp-10010,164,175.4499068,7000,13,27,14,19,6.4,14,58,78,20,69,8.8,58,26.9815386,58.933195,31.9516564,40.20378572,14.98352742,28.0855,933.47,1768,834.53,1568.694,254.0896,1687,9,14,5,11.8,2.24,9,3,4,1,3.4,0.48,3,111,126,15,119,6.4,111,1.61,1.9,0.29,1.834,0.0896,1.88,2,2,0,2,0,2,0,2,2,1,0.8,0,0,7,7,2.8,3.36,0,0,0,0,0,0,0,3,9,6,5.8,2.56,4,0,0,0,0,0,0,0,5,5,2.6,2.08,0,0,3,3,1.2,1.44,0,0,0,0,0,0,0,3,5,2,3.8,0.64,3,10.245,20.44,10.195,15.57,4.26,10.245,0,0.773,0.773,0.3092,0.37104,0,0,1.5484712,1.5484712,0.61938848,0.743266176,0,194,227,33,213.4,15.52,194,-4,3,7,3.872983346,5.384968041,12.39746554,0.64438622
2,mp-10015,221,295.077545,7000,14,76,62,45,31,14,57,78,21,67.5,10.5,57,28.0855,190.23,162.1445,109.15775,81.07225,28.0855,1687,3306,1619,2496.5,809.5,1687,8,14,6,11,3,8,3,6,3,4.5,1.5,3,111,144,33,127.5,16.5,111,1.9,2.2,0.3,2.05,0.15,1.9,2,2,0,2,0,2,0,2,2,1,1,0,0,6,6,3,3,0,0,14,14,7,7,0,4,22,18,13,9,4,0,0,0,0,0,0,0,4,4,2,2,0,0,4,4,2,2,0,0,0,0,0,0,0,4,4,0,4,0,4,14.09,20.44,6.35,17.265,3.175,14.09,0,0.773,0.773,0.3865,0.3865,0,0,0,0,0,0,0,194,227,33,210.5,16.5,194,-4,4,8,5.656854249,13.96863505,12.97626467,0.569426265
3,mp-10021,63,49.13067004,7000,31,31,0,31,0,31,74,74,0,74,0,74,69.723,69.723,0,69.723,0,69.723,302.91,302.91,0,302.91,0,302.91,13,13,0,13,0,13,4,4,0,4,0,4,122,122,0,122,0,122,1.81,1.81,0,1.81,0,1.81,2,2,0,2,0,2,1,1,0,1,0,1,10,10,0,10,0,10,0,0,0,0,0,0,13,13,0,13,0,13,0,0,0,0,0,0,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,5,18.8575,18.8575,0,18.8575,0,18.8575,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,64,0,64,0,0,0,0,6.036266784,19.18035892,0.47980187
4,mp-10025,62,256.7680808,7000,14,44,30,34,13.33333333,44,56,78,22,63.33333333,9.777777778,56,28.0855,101.07,72.9845,76.74183333,32.43755556,101.07,1687,2607,920,2300.333333,408.8888889,2607,8,14,6,10,2.666666667,8,3,5,2,4.333333333,0.888888889,5,111,146,35,134.3333333,15.55555556,146,1.9,2.2,0.3,2.1,0.133333333,2.2,1,2,1,1.333333333,0.444444444,1,0,2,2,0.666666667,0.888888889,0,0,7,7,4.666666667,3.111111111,7,0,0,0,0,0,0,4,8,4,6.666666667,1.777777778,8,0,1,1,0.666666667,0.444444444,1,0,4,4,1.333333333,1.777777778,0,0,3,3,2,1.333333333,3,0,0,0,0,0,0,4,4,0,4,0,4,13.51,20.44,6.93,15.82,3.08,13.51,0,0.773,0.773,0.257666667,0.343555556,0,0,0,0,0,0,0,194,227,33,205,14.66666667,194,-4,2,6,4.242640687,9.539513699,13.35841787,0.598394814
5,mp-10037,221,234.4545096,7000,6,27,21,20,8.4,27,58,77,19,64.8,8.16,58,12.0107,58.933195,46.922495,43.15836472,18.92979634,58.933195,933.47,3823,2889.53,2012.094,724.3624,1768,9,14,5,10.8,2.16,9,2,4,2,3.4,0.72,4,76,126,50,115,15.6,126,1.61,2.55,0.94,1.96,0.236,1.88,2,2,0,2,0,2,0,2,2,0.6,0.72,0,0,7,7,4.2,3.36,7,0,0,0,0,0,0,3,9,6,6.8,2.64,9,0,0,0,0,0,0,0,5,5,1.8,2.16,0,0,3,3,1.8,1.44,3,0,0,0,0,0,0,3,5,2,3.6,0.72,3,5.64,16.48,10.84,10.571,2.3636,10.245,0,4.496,4.496,0.8992,1.43872,0,0,1.5484712,1.5484712,0.92908272,0.743266176,1.5484712,194,225,31,200.2,9.92,194,0,0,0,0,6.947764007,10.31499479,0.785962007
6,mp-10063,122,36.2332855,7000,48,51,3,50,1,51,70,85,15,80,5,85,112.411,121.76,9.349,118.66025,3.124625,121.76,505.08,903.78,398.7,726.715,177.065,903.78,12,15,3,14,1,15,5,5,0,5,0,5,139,144,5,140.25,1.875,139,1.69,2.05,0.36,1.9375,0.12375,2.05,2,2,0,2,0,2,0,3,3,2,1,3,10,10,0,10,0,10,0,0,0,0,0,0,12,15,3,14,1,15,0,0,0,0,0,0,0,4,4,2.5,1.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2.5,1.25,3,19.495,33.285,13.79,28.975,4.74,31.56,0,0,0,0,0,0,0,0,0,0,0,0,141,194,53,166.75,13.625,166,-3,4,7,3.898717738,5.433928359,36.26105547,0.371670667
7,mp-101,225,346.3227613,7000,77,77,0,77,0,77,60,60,0,60,0,60,192.217,192.217,0,192.217,0,192.217,2739,2739,0,2739,0,2739,9,9,0,9,0,9,6,6,0,6,0,6,141,141,0,141,0,141,2.2,2.2,0,2.2,0,2.2,2,2,0,2,0,2,0,0,0,0,0,0,7,7,0,7,0,7,14,14,0,14,0,14,23,23,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,3,3,0,3,0,3,14.21,14.21,0,14.21,0,14.21,0,0,0,0,0,0,0,0,0,0,0,0,225,225,0,225,0,225,0,0,0,0,21.91505298,14.56459325,0.707606078
8,mp-10125,194,160.280886,7000,51,77,26,64,13,51,60,85,25,72.5,12.5,60,121.76,192.217,70.457,156.9885,35.2285,121.76,903.78,2739,1835.22,1821.39,917.61,903.78,9,15,6,12,3,9,5,6,1,5.5,0.5,5,139,141,2,140,1,139,2.05,2.2,0.15,2.125,0.075,2.05,2,2,0,2,0,2,0,3,3,1.5,1.5,0,7,10,3,8.5,1.5,7,0,14,14,7,7,0,15,23,8,19,4,15,0,0,0,0,0,0,0,3,3,1.5,1.5,0,0,3,3,1.5,1.5,0,0,0,0,0,0,0,3,3,0,3,0,3,14.21,31.56,17.35,22.885,8.675,14.21,0,0,0,0,0,0,0,0,0,0,0,0,166,225,59,195.5,29.5,166,-3,3,6,4.242640687,13.02532733,20.01374142,0.576505031
9,mp-10154,216,131.9748604,7000,25,77,52,51,17.33333333,25,52,85,33,65.66666667,12.88888889,52,54.938045,192.217,137.278955,122.9716817,46.16354556,54.938045,903.78,2739,1835.22,1720.593333,678.9377778,903.78,7,15,8,10.33333333,3.111111111,7,4,6,2,5,0.666666667,4,139,141,2,139.6666667,0.888888889,139,1.55,2.2,0.65,1.933333333,0.255555556,1.55,2,2,0,2,0,2,0,3,3,1,1.333333333,0,5,10,5,7.333333333,1.777777778,5,0,14,14,4.666666667,6.222222222,0,7,23,16,15,5.333333333,7,0,0,0,0,0,0,0,3,3,1,1.333333333,0,0,5,5,2.666666667,1.777777778,0,0,0,0,0,0,0,3,5,2,3.666666667,0.888888889,3,10.48758621,31.56,21.07241379,18.75252874,8.538314176,10.48758621,0,0,0,0,0,0,0,0.000310121,0.000310121,0.000103374,0.000137831,0,166,225,59,202.6666667,24.44444444,166,0,0,0,0,10.70629954,19.07281573,0.604177276
